旧ID,新ID,名前,旧ランク,新ランク,旧通常ドロップ,新通常ドロップ,旧レアドロップ,新レアドロップ,変更有無
001755,001753,屍竜ファフニール,176,176,1051:剛力の戦香（15%）,1051:剛力の戦香（15%）,101:ふしぎのきのみ（5%）,101:ふしぎのきのみ（5%）,なし
001753,001754,魔触アルラウネ,176,176,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2015:始原樹の枝（5%）,2015:始原樹の枝（5%）,なし
001752,001755,冥騎士ベレト,176,176,2063:終焉の黒玉（15%）,2063:終焉の黒玉（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001801,001801,カラミティナイト,181,181,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2023:混沌の核（5%）,2023:混沌の核（5%）,なし
001803,001802,デスアーマー,181,181,1077:破魔の呪香（15%）,1077:破魔の呪香（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001804,001803,黒炎竜アモン,181,181,2039:深淵竜の剛爪（15%）,2039:深淵竜の剛爪（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001802,001804,深淵のキルケー,181,181,2039:深淵竜の剛爪（15%）,2039:深淵竜の剛爪（15%）,1077:破魔の呪香（5%）,1077:破魔の呪香（5%）,なし
001851,001851,アスモデウス,186,186,1018:天嵐の器（15%）,1018:天嵐の器（15%）,2063:終焉の黒玉（5%）,2063:終焉の黒玉（5%）,なし
001852,001852,グレイブロード,186,186,2063:終焉の黒玉（15%）,2063:終焉の黒玉（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001854,001853,ヨルムンガンド,186,186,2055:深淵原液（15%）,2055:深淵原液（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001853,001854,機神アマデウス,186,186,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2007:アビスメタル（5%）,2007:アビスメタル（5%）,なし
001855,001855,滅神アポカリプス,186,186,6:世界樹の雫（15%）,6:世界樹の雫（15%）,104:すばやさのたね（5%）,104:すばやさのたね（5%）,なし
001903,001901,ソウルイーター,191,191,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2023:混沌の核（5%）,2023:混沌の核（5%）,なし
001904,001902,混沌装甲アケローン,191,191,2007:アビスメタル（15%）,2007:アビスメタル（15%）,1023:神光の器（5%）,1023:神光の器（5%）,なし
001901,001903,常闇のリリス,191,191,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2039:深淵竜の剛爪（5%）,2039:深淵竜の剛爪（5%）,なし
001902,001904,魔竜騎兵カイン,191,191,2039:深淵竜の剛爪（15%）,2039:深淵竜の剛爪（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
001953,001951,ウロボロスロード,196,196,1057:魔障の戦香（15%）,1057:魔障の戦香（15%）,2055:深淵原液（5%）,2055:深淵原液（5%）,なし
001952,001952,獄機ヘルマジンガ,196,196,2007:アビスメタル（15%）,2007:アビスメタル（15%）,1057:魔障の戦香（5%）,1057:魔障の戦香（5%）,なし
001955,001953,審判機神ジャジメント,196,196,6:世界樹の雫（15%）,6:世界樹の雫（15%）,100:いのちのきのみ（5%）,100:いのちのきのみ（5%）,なし
001951,001954,大魔導ジャミラ,196,196,6:世界樹の雫（15%）,6:世界樹の雫（15%）,2023:混沌の核（5%）,2023:混沌の核（5%）,なし
001954,001955,竜王ティアマト,196,196,2039:深淵竜の剛爪（15%）,2039:深淵竜の剛爪（15%）,6:世界樹の雫（5%）,6:世界樹の雫（5%）,なし
