旧ID,新ID,名前,旧ランク,新ランク,登場エリア（新）,旧hp,旧mp,旧atk,旧def,旧spd,旧mag,旧mdef,旧gold,旧exp,新hp,新mp,新atk,新def,新spd,新mag,新mdef,新gold,新exp,スキル変更
001702,001703,凍獄執事コキュートス,171,171,深淵（71～75階）,3064,362,696,447,379,696,408,60000,31000,3064,362,696,447,379,696,408,60000,31000,なし
001704,001704,冥王タナトス,171,171,深淵（71～75階）,3381,362,447,447,192,696,408,60000,31000,3381,362,447,447,192,696,408,60000,31000,なし
001751,001751,アビスドラゴン,176,176,深淵（76～80階）,3500,404,734,465,405,734,447,70000,36500,3500,404,734,465,405,734,447,70000,36500,なし
001754,001752,イービルレイス,176,176,深淵（76～80階）,2998,430,20,224,429,765,482,70000,36500,2998,430,20,224,429,765,482,70000,36500,なし
001755,001753,屍竜ファフニール,176,176,深淵（76～80階）,4239,430,607,500,429,607,482,115500,60225,4239,430,607,500,429,607,482,115500,60225,なし
001753,001754,魔触アルラウネ,176,176,深淵（76～80階）,3064,404,239,342,287,754,447,70000,36500,3064,404,239,342,287,754,447,70000,36500,なし
001752,001755,冥騎士ベレト,176,176,深淵（76～80階）,3259,256,754,465,364,414,408,70000,36500,3259,256,754,465,364,414,408,70000,36500,なし
001801,001801,カラミティナイト,181,181,深淵（81～85階）,3722,256,848,529,372,491,458,85000,45000,3722,256,848,529,372,491,458,85000,45000,なし
001803,001802,デスアーマー,181,181,深淵（81～85階）,3995,236,830,591,310,274,476,85000,45000,3995,236,830,591,310,274,476,85000,45000,なし
001804,001803,黒炎竜アモン,181,181,深淵（81～85階）,3995,417,848,529,414,848,494,85000,45000,3995,417,848,529,414,848,494,85000,45000,なし
001802,001804,深淵のキルケー,181,181,深淵（81～85階）,3550,467,21,324,414,859,529,85000,45000,3550,467,21,324,414,859,529,85000,45000,なし
001851,001851,アスモデウス,186,186,深淵（86～90階）,4199,296,867,561,387,491,494,100000,52500,4199,296,867,561,387,491,494,100000,52500,なし
001852,001852,グレイブロード,186,186,深淵（86～90階）,3550,467,386,229,438,867,529,100000,52500,3550,467,386,229,438,867,529,100000,52500,なし
001854,001853,ヨルムンガンド,186,186,深淵（86～90階）,4298,417,519,529,207,848,494,100000,52500,4298,417,519,529,207,848,494,100000,52500,なし
001853,001854,機神アマデウス,186,186,深淵（86～90階）,4249,243,867,619,438,21,494,100000,52500,4249,243,867,619,438,21,494,100000,52500,なし
001855,001855,滅神アポカリプス,186,186,深淵（86～90階）,5265,280,694,647,462,21,529,165000,86625,5265,280,694,647,462,21,529,165000,86625,なし
001903,001901,ソウルイーター,191,191,深淵（91～95階）,4257,511,533,242,462,976,574,120000,65000,4257,511,533,242,462,976,574,120000,65000,なし
001904,001902,混沌装甲アケローン,191,191,深淵（91～95階）,4916,249,976,676,326,308,574,120000,65000,4916,249,976,676,326,308,574,120000,65000,なし
001901,001903,常闇のリリス,191,191,深淵（91～95階）,4738,511,756,574,438,976,574,120000,65000,4738,511,756,574,438,976,574,120000,65000,なし
001902,001904,魔竜騎兵カイン,191,191,深淵（91～95階）,4916,417,976,604,451,713,541,120000,65000,4916,417,976,604,451,713,541,120000,65000,なし
001953,001951,ウロボロスロード,196,196,深淵（96～100階）,5173,792,563,633,231,941,604,150000,80000,5173,792,563,633,231,941,604,150000,80000,なし
001952,001952,獄機ヘルマジンガ,196,196,深淵（96～100階）,5173,256,976,741,438,21,633,150000,80000,5173,256,976,741,438,21,633,150000,80000,なし
001955,001953,審判機神ジャジメント,196,196,深淵（96～100階）,6233,416,775,775,473,21,661,247500,132000,6233,416,775,775,473,21,661,247500,132000,なし
001951,001954,大魔導ジャミラ,196,196,深淵（96～100階）,5090,572,21,383,462,976,633,150000,80000,5090,572,21,383,462,976,633,150000,80000,なし
001954,001955,竜王ティアマト,196,196,深淵（96～100階）,5173,511,976,633,438,941,604,150000,80000,5173,511,976,633,438,941,604,150000,80000,なし
